region,category,may_revenue,jun_revenue,revenue_change,refund_rate
North,Electronics,264648.0,142056.19999999995,-122591.80000000005,0.0975537984278033
West,Beauty,263812.0,183826.0,-79986.0,0.08211622084422732
West,Electronics,261076.0,185159.0,-75917.0,0.07776959335664806
North,Home,249782.0,194208.0,-55574.0,0.07807797097290474
North,Fashion,234955.0,195389.0,-39566.0,0.08258766444661039
South,Beauty,221928.0,186762.0,-35166.0,0.08201527038369998
East,Beauty,226228.0,192912.0,-33316.0,0.07687525821506434
South,Home,222599.0,198443.0,-24156.0,0.08077417788381665
East,Fashion,240887.0,238195.0,-2692.0,0.08165531552713795
North,Beauty,197182.0,203997.0,6815.0,0.07850973322082302
